,ID,Title
0,75530,Add WeatherFlow integration
1,123860,Add LG ThinQ Integration
2,76863,Add livisi integration
3,31537,Add support for newer SamsungTV models
4,50913,Add Nobø Ecohub integration
5,16427,Add (EU-based) Honeywell evohome CH/DHW controller
6,104319,Add DROP integration
7,113375,Upgrade thethingsnetwork to v3
8,68992,Add Azure data explorer
9,105779,"Add a new ""Ambient Weather Network"" integration"
10,52360,Generic IP Camera configflow 2
11,110816,Add Fyta integration
12,21658,Add Repetier-Server Component
13,120382,Add madvr envy integration
14,105143,Add authentication to tplink integration for newer devices
15,48287,Rework Fritz config_flow and device_tracker
16,70080,Add new integration Loqed
17,102371,Add lektrico integration
18,10916,Ihc component and platforms
19,93750,Add romy vacuum integration
20,109497,Add Motionblinds BLE integration
21,8623,"Xiaomi vacuum as platform of new vacuum component derived from ToggleEntity, and services"
22,49608,Add ll hls to stream
23,51884,Add xiaomi_miio humidifier entity and sensors
24,95613,Add Mypermobil integration
25,99573,Add microBees integration
26,35927,Refactor Enocean part 1
27,35760,Add new Subaru integration
28,113156,Add Arve integration
29,17466,Support for Point component
30,46432,Octoprint config flow
31,121488,Add Iskra integration
32,21473,Live Streams Component
33,35255,DenonAVR Config Flow
34,32711,Add agent_dvr integration
35,74719,Add config flow to mystrom
36,119788,Add Bryant Evolution Integration
37,38206,Add FireServiceRota/BrandweerRooster integration
38,6054,"Support for non-clients, NVidia shield, dynamic grouping, extra metad…"
39,11994,Egardia redesign - generic component and sensor support
40,45722,Update Ezviz Component
41,88104,Add camera platform to Freebox
42,10983,Added new climate component from Daikin
43,116173,Add config flow to Genius hub
44,45421,MySensors config flow
45,30992,Add Minecraft Server Integration
46,22325,Added component named switcher_kis switcher water heater integration.
47,10691,Refactor hue to split bridge support from light platform
48,36300,Aurora abb (solar) configflow
49,61182,Add support of Z-Wave.Me Z-Way and RaZberry server
50,54444,Add config_flow to AndroidTV integration
51,58503,Add Goodwe solar inverter integration
52,76575,Add Keymitt BLE integration
53,108740,Add ConfigFlow for Lupusec
54,30894,"Support Konnected Pro alarm panel, embrace async, leverage latest HA features/architecture"
55,46783,Add Homepluscontrol integration
56,106420,Add Huum integration
57,102410,Raise and suppress stack trace when reloading yaml fails
58,36930,Add Risco integration
59,125231,Add sensor platform to LG ThinQ integration
60,19786,Nissan Leaf Integration (Carwings / NissanConnect EV)
61,42771,Add Moehlenhoff Alpha2 underfloor heating system integration
62,109291,Add eq3btsmart integration
63,103073,Add integration for iotty Smart Home
64,69167,Add YoLink product integration
65,102291,Add integration lamarzocco
66,77091,Add Starlink Integration
67,54280,Add new integration Discovergy
68,54479,Netgear config flow
69,93462,Add bang_olufsen integration
70,55364,Add IoTaWatt integration
71,13346,Add support for controlling homekit lights and switches
72,12819,"Add support for alarm system, switch and thermostat to homekit"
73,48022,Add samsungtv dhcp and zeroconf discovery
74,103795,Add Holiday integration
75,121268,Add TRIGGERcmd integration
76,108336,Add SimpleFIN integration
77,35561,Create PoolSense integration
78,95720,Add HTTP protocol support to AsusWRT
79,108326,Add husqvarna automower ble integration
80,18428,Add zones to evohome component
81,20434,ZHA component rewrite
82,31953,Add forked_daapd integration
83,36914,Implement config flow in the Broadlink integration
84,50953,Broadlink Integration add support for LB1
85,109030,Allow MQTT device based auto discovery
86,34063,Add bosch_shc supporting Bosch Smart Home Controller
87,31760,Enhance Dynalite Integration after review
88,35591,Add Firmata Integration (attempt 2)
89,115645,Add ElevenLabs text-to-speech integration
90,33829,Add config flow to panasonic_viera component
91,56094,Add ws66i core integration
92,83645,Add ecobee ventilator
93,116267,Add new integration for Dio Chacon cover devices
94,109335,Add Fujitsu FGLair integration
95,17855,Initial hlk-sw16 relay switch support
96,104684,Add Tessie Integration
97,124176,Add new integration for WMS WebControl pro using local API
98,62788,Add support for topdown shades to hunterdouglas_powerview
99,65194,Add PECO power outage counter integration
100,36759,Add generic hygrostat integration
101,12534,Upgrade insteonplm to 0.8.2 (required refactoring)
102,46332,Add Freedompro
103,115464,Add LLM tools
104,118675,New Integration: SMLIGHT SLZB-06 Adapters Integration
105,51610,Add switch platform to Fritz
106,65090,Add laundrify integration
107,117319,Add config flow to Onkyo
108,18091,"Add support for automatic discovery of TP-Link switches, bulbs and dimmers"
109,28306,Add Samsung TV config flow
110,37632,Add Control4 integration
111,85654,Reolink add binary sensors
112,94824,New integration Midea ccm15 climate
113,14749,Add media_player.dlna_dmr component
114,46677,Add Config Flow to Modem Caller ID integration
115,50677,Add Crownstone integration
116,18700,Reproduce states by letting each component opt in on handling state recovery itself
117,32557,"Modbus patch, to allow communication with ""slow"" equipment using tcp"
118,37775,Add SmartTub integration
119,26579,Neato config flow
120,92149,Add config-flow to NextBus
121,30871,Add Nextcloud Integration
122,34659,Add OpenWeatherMap config_flow
123,102184,Add Valve integration
124,50850,Add yale_smart_alarm config flow and coordinator
125,80450,Add config_flow to QNAP
126,95093,Add Aprilaire integration
127,30712,Add MELCloud integration
128,48346,Add Whirlpool integration
129,26699,Add abode config entries and device registry
130,30334,Refactor Freebox : add config flow + temperature sensor + signal dispatch
131,24426,Add surepetcare component
132,28693,Add new humidifier entity integration
133,44333,Improve flux_led performance and compatibility with new lights
134,48082,Add wallbox integration
135,59321,Elmax integration
136,64365,Add config flow to frontier_silicon
137,99607,Add switchbot cloud integration
138,102610,Refactor Tado to use OAuth in the DeviceTracker
139,70365,Add OSO Energy integration
140,24603,Add here_travel_time
141,31564,Add HVV integration (Hamburg public transportation)
142,59234,Add Balboa Spa integration
143,68304,Add Aladdin connect config flow
144,82483,Add bluecurrent integration
145,101786,Add Viam image processing integration
146,19777,Add zone and reps for Xiaomi vacuum
147,18058,Add support for multiple IHC controllers
148,35571,Add Netatmo data handler
149,39321,Add config flow for One wire
150,45074,Add AEMET OpenData integration
151,63637,Add Intellifire Gas Fireplace integration
152,12918,Adds folder_watcher component
153,43513,Airtouch4 integration
154,32664,Add BleBox integration
155,18026,Add lightwave components for switches and lights
156,55812,Add HomeWizard Energy integration
157,28744,Enable config flow for Tesla
158,31240,Add config flow and device registry to fritzbox integration
159,31665,Add Lightwave TRV
160,33384,Add Acmeda integration
161,60000,Add Tesla Wall Connector integration
162,74316,Migrate LIFX to config entry per device
163,92299,Lastfm config flow
164,26393,Centralize rainbird config and add binary sensor platform
165,34104,Add Wolflink integration
166,37812,Implement local discovery of Smappee legacy devices
167,44427,Upgrade econet to use new API
168,44929,Add Meater integration
169,106785,Add Sanix integration
170,33302,Add config_flow for Roomba
171,36694,Add Wilight integration with SSDP
172,10688,Add AVM fritzbox smarthome component
173,67817,Create iAlarmXR integration
174,11409,Add basic mychevy component
175,22968,Add HomeKit Television functionality
176,58152,Add config flow to venstar
177,124557,Add touchlinesl integration
178,35595,Add Xiaomi Aqara Config Flow
179,92475,Bump screenlogicpy to v0.9.0
180,33691,Update plugwise to async and config_flow
181,39585,Add Config Flow to bmw_connected_drive
182,46582,Flipr integration
183,56647,Add nina integration
184,76999,Add air-Q integration (air quality sensors)
185,87062,Add config flow to geo_json_events
186,122473,Add Squeezebox server service binary sensors
187,34394,Refactor / update Awair integration
188,41375,Update tuyaha to 0.0.8 and adapt code
189,57450,Add config flow to tautulli integration
190,123057,Add weheat core integration
191,13670,"Add Konnected component with support for discovery, binary sensor, and switch"
192,55619,Add TOLO Sauna (tolo) integration
193,62780,Convert Vallox integration to config flow
194,29214,Add Home Connect integration
195,16717,Swedish weather institute weather component
196,18758,TelldusLive config flow
197,37922,Add integration for ProgettiHWSW automation boards
198,44401,Add Jellyfin integration
199,100573,Add Refoss integration
200,66130,Add new Rabbit Air integration
201,17767,Enable native support + ADB authentication for Fire TV
202,22598,Add basic support for native Hue sensors
203,75718,Add JustNimbus integration
204,95315,Cache entity properties that are never expected to change in the base class
205,50284,Add Geocaching integration
206,51561,Rewrite of Yamaha musiccast integration
207,108027,Add bring integration
208,24484,Add Keba charging station/wallbox as component
209,89456,Add new Roborock Integration
210,105648,Swiss public transport config flow
211,52199,Convert Nanoleaf yaml and discovery to config flow
212,86254,Add Anova integration
213,119642,Add Sensoterra integration
214,21598,Genius hub
215,4547,Rflink 433Mhz gateway platform and components
216,37796,Add configuration flow for Buienradar integration
217,52786,Add Number platform to Wallbox
218,98489,Add Lutron config flow
219,111196,Add ConfigFlow for seventeentrack integration
220,102871,Add ecobee set_sensors_used_in_climate service
221,19115,XS1 component
222,30792,Add Garmin Connect integration
223,112806,Enable config flow for html5
224,78542,Support for nibe heat pumps with local access
225,85980,Add support for telnet connections for Denonavr integration
226,25913,Add support Slide cover
227,32523,Add support to the new Broadlink RM Mini 3 and RM4 Series
228,35669,Squeezebox config flow
229,87821,Add Room Audio Control to Control4 Integration
230,110685,Add time based integration trigger to Riemann sum integral helper sensor
231,36445,Renew Smappee (sensors and switches)
232,55267,Config-flow for DLNA-DMR integration
233,4781,HDMI CEC - support for devices and commands
234,13495,Wireless tags platform
235,15953,Geo Location component
236,20197,Add new nextbus sensor
237,56354,Flux led config flow
238,70149,Mqtt support config_entry unload
239,34987,Add zwave mqtt
240,17891,Initial support for Fibaro HomeCenter hubs
241,72461,Convert life360 integration to entity based
242,90056,Add Tami4 Integration
243,121336,Migrate emoncms to config flow
244,4614,Restore_state helper to restore entity states from the DB on startup
245,37553,Add roon media player integration
246,64166,Implement coordinator class for Tradfri integration
247,73441,Weather unit conversion
248,89350,Add SharkIQ room targeting
249,21721,Add HEOS integration
250,3405,Add support for mysensors HVAC device
251,26675,Modernize Huawei LTE
252,29851,Refactor Netatmo integration
253,45434,Fix Epson config flow unique_id
254,49852,Initial draft of statistics
255,88826,Filter replaying unrelated retained MQTT messages when subscribing to share topics
256,96027,Add optional location based region to dwd_weather_warnings
257,114178,Improve AtlanticDomesticHotWaterProductionMBLComponent support in Overkiz
258,34900,Convert MetOffice to use UI for configuration
259,34760,Add support for Keg and Airlock to Plaato using polling API
260,57553,Don't create xiaomi_miio sensors if inital state is None
261,66469,Add config flow to zamg
262,75874,Support for local push in Risco integration
263,99895,Add Apple WeatherKit integration
264,121132,Add Deako integration
265,9524,Add Sytadin Traffic component
266,13742,Velbus auto-discovery
267,24550,Izone component
268,33816,Add numato integration
269,64850,Refactor sleepiq as async with config flow
270,53552,Add Aussie Broadband integration
271,56039,Add Escea fireplace integration
272,73363,Add Landis+Gyr Heat Meter integration
273,95885,Bump iammeter to 0.2.1
274,94032,Vodafone Station device tracker
275,121262,Add config flow to Russound RIO integration
276,123578,Add Switcher Runner S11 support
277,8574,Fix COMMAND_CLASS_BARRIER_OPERATOR for dev branch of OpenZwave
278,17180,Add LogBook support to HomeKit
279,17920,W800rf32
280,21920,Add N26 component
281,26634,Add config flow to ecobee
282,31177,Add initial version of Vilfo Router integration
283,115207,Add config_flow to bluesound integration
284,9118,Rain Bird LNK WiFi Irrigation Implementation
285,30152,Add more onvif PTZ move modes
286,32826,Add Nexia thermostat support (Trane / American Standard)
287,37498,Add gree climate integration
288,42120,Add Modbus light integration
289,46678,Fix recorder with MSSQL
290,93644,Add Water Heater platform to MQTT integration
291,86522,Add myUplink integration
292,91165,Trigger Home Assistant shutdown automations right before the stop event instead of during it
293,92988,Add YouTube integration
294,84464,Add config flow to Jewish Calendar
295,17270,Restore states through a JSON store instead of recorder
296,34447,Add Withings webhooks
297,68138,Sabnzbd config flow
298,111651,Add Sensors  to Weatherflow Cloud
299,117117,Add Aquacell integration
300,124014,Add Monarch Money Integration
301,5215,"Allow easier customization of whole domain, entity lists, globs."
302,12591,Add extra sensors for BMW ConnectedDrive
303,16952,Add support for ElkM1 alarm/automation panel
304,95589,Add config flow to Hydrawise
305,40474,Add Omnilogic integration
306,56448,Amberelectric
307,67002,Add intellifire UDP discovery at configuration start
308,71269,Add visual image preview during generic camera config flow
309,41675,Add Compensation Integration
310,37636,Add RGB light support to ozw
311,33181,Add devolo home control
312,37191,Add config flow to yeelight
313,38910,Add sensors to fetch Habitica tasks
314,44867,Philips TV ambilight support
315,47933,Add Pentair ScreenLogic integration
316,103498,Add integration for Vogel's MotionMount
317,102846,Add tedee integration
318,120190,ZHA as an external library
319,4292,Nest Cam support
320,26548,Add Plex config flow support
321,30653,"Add Config Flow support, Device Registry support, available property to vizio component"
322,42716,Add Huisbaasje integration
323,40159,Add Advantage Air Integration
324,42104,Add Hyperion config flow and tests
325,44679,Add Prosegur Alarms
326,45407,Separate fan speeds into percentages and presets modes
327,49734,Add support for Soma Tilt devices
328,54990,Refactor Xiaomi vacuum to sensors
329,56557,Add Tuya v2 climate platform
330,71617,Add config flow and MQTT autodiscover to dsmr_reader integration
331,84081,Add reolink IP NVR/Camera integration
332,106697,Add Govee local light integration
333,113097,Add Integration for Energenie Power-Sockets
334,21607,mobile_app improvements
335,72797,Change matrix component to use matrix-nio instead of matrix_client
336,116737,Add sensors for Unifi latency
337,121378,Add sensor platform to laundrify integration
338,24953,Add Support for VeSync Devices - Outlets and Switches
339,31088,Add integration for Schluter
